Type	Prefix	LocalFile	label	filename	md5	timestamp
Genome	Bacci1	download/Thamnidiaceae/Backusella_circina/Backusella_circina.Bacci1.v1.assembly.fasta.gz	Backusella circina FSU 941 v1.0	Bacci1_AssemblyScaffolds.fasta.gz	a5a0cfb432c78831805efbad7580a62b	Tue Jul 30 14:17:57 PDT 2013
Genome	Coere1	download/Kickxellaceae/Coemansia_reversa/Coemansia_reversa.Coere1.v1.assembly.fasta.gz	Coemansia reversa NRRL 1564 v1.0	Coere1_AssemblyScaffolds.fasta.gz	471eb8deb66cf904354ec06b85f0c994	Wed Mar 07 16:33:44 PST 2012
Genome	Conco1	download/Ancylistaceae/Conidiobolus_coronatus/Conidiobolus_coronatus.Conco1.v1.assembly.fasta.gz	Conidiobolus coronatus NRRL28638 v1.0	Conco1_AssemblyScaffolds.fasta.gz	15ad77c430d714ad611f38a1258f929c	Wed Mar 07 16:34:09 PST 2012
Genome	Conth1	download/Ancylistaceae/Conidiobolus_thromboides/Conidiobolus_thromboides.Conth1.v1.assembly.fasta.gz	Conidiobolus thromboides FSU 785 v1.0	Conth1_AssemblyScaffolds.fasta.gz		Fri Oct 03 05:27:00 PDT 2014
Genome	Gloin1	download/Glomeraceae/Rhizophagus_irregularis/Rhizophagus_irregularis.Gloin1.v1.assembly.fasta.gz	Rhizophagus irregularis DAOM 181602 v1.0	Gloin1_AssemblyScaffolds.fasta.gz	a117c4d681b959f5e1c8948c1de5b38b	Thu May 10 09:27:40 PDT 2012
Genome	Lichy1	download/Lichtheimiaceae/Lichtheimia_hyalospora/Lichtheimia_hyalospora.Lichy1.v1.assembly.fasta.gz	Lichtheimia hyalospora v1.0	Lichy1_AssemblyScaffolds.fasta.gz	eb2a70f5f382e923403d4ede8808ec1b	Mon May 06 11:53:53 PDT 2013
Genome	Marpt1	download/Kickxellaceae/Martensiomyces_pterosporus/Martensiomyces_pterosporus.Marpt1.v1.assembly.fasta.gz	Martensiomyces pterosporus CBS 209.56 v1.0	Marpt1_AssemblyScaffolds.fasta.gz		Fri Sep 19 14:59:06 PDT 2014
Genome	Morel1	download/Mortierellaceae/Mortierella_elongata/Mortierella_elongata.Morel1.v1.assembly.fasta.gz	Mortierella elongata v1.0	Morel1_AssemblyScaffolds.fasta.gz	99047d141766950910132bf4e4e41001	Thu Sep 20 17:11:31 PDT 2012
Genome	Mucci2	download/Mucoraceae/Mucor_circinelloides/Mucor_circinelloides.Mucci2.v2.assembly.fasta.gz	Mucor circinelloides CBS277.49 v2.0	Mucor_circinelloides_v2_scaffolds.fasta.gz	b8ea9f05aa6ca71350dcb5c2907dfe71	Wed Mar 07 16:52:00 PST 2012
Genome	Phybl2	download/Phycomycetaceae/Phycomyces_blakesleeanus/Phycomyces_blakesleeanus.Phybl2.v2.assembly.fasta.gz	Phycomyces blakesleeanus NRRL1555 v2.0	Phycomyces_blakesleeanus_v2_scaffolds.fasta.gz	fbdfdb32940c0630020b6f49fb8a052e	Wed Mar 07 16:56:14 PST 2012
